course_code,course_name,cycle,institution_code,institution_name,reference
9853,Educação Básica,Licenciatura - 1º ciclo,0604,Universidade de Évora - Escola de Ciências Sociais,5.4.90
9853,Educação Básica,Licenciatura - 1º ciclo,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,5.4.216
9853,Educação Básica,Licenciatura - 1º ciclo,3081,Universidade do Algarve - Escola Superior de Educação e Comunicação,5.4.330
9853,Educação Básica,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.164
9853,Educação Básica,Licenciatura - 1º ciclo,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,5.4.21
9876,Educação Básica (regime pós-laboral),Licenciatura - 1º ciclo,3112,Instituto Politécnico de Lisboa - Escola Superior de Educação,5.4.396
9876,Educação Básica (regime pós-laboral),Licenciatura - 1º ciclo,3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,5.4.482
9736,Educação Física e Desporto,Licenciatura - 1º ciclo,1308,Universidade da Madeira - Faculdade de Ciências Sociais,5.4.153
L040,Educação e Formação,Licenciatura - 1º ciclo,1513,Universidade de Lisboa - Instituto de Educação,5.4.127
9878,Educação Musical,Licenciatura - 1º ciclo,3131,Instituto Politécnico do Porto - Escola Superior de Educação,5.4.421
9084,Educação Social,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.268
9084,Educação Social,Licenciatura - 1º ciclo,3101,Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais,5.4.364
9084,Educação Social,Licenciatura - 1º ciclo,3121,Instituto Politécnico de Portalegre - Escola Superior de Educação e Ciências Sociais,5.4.411
9084,Educação Social,Licenciatura - 1º ciclo,3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,5.4.463
9084,Educação Social,Licenciatura - 1º ciclo,3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,5.4.513
9084,Educação Social,Licenciatura - 1º ciclo,3131,Instituto Politécnico do Porto - Escola Superior de Educação,5.4.422
