course_code,course_name,cycle,institution_code,institution_name,institution_sigla,reference,estatisticas_do_curso,detalhes_do_curso,nota_ult_col_2023_1a,nota_ult_col_2023_2a,nota_ult_col_2024_1a,nota_ult_col_2024_2a,nota_ult_col_2025_1a,nota_ult_col_2025_2a
L136,Osteopatia,Licenciatura - 1º ciclo,7230,Instituto Politécnico do Porto - Escola Superior de Saúde,ESS,5.4.433,https://infocursos.medu.pt/dges.asp?code=7230&codc=L136,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L136&code=7230,139.8,143.3,143.8,142.3,143,144
9787,Património Cultural,Licenciatura - 1º ciclo,604,Universidade de Évora - Escola de Ciências Sociais,ECS,5.4.93,https://infocursos.medu.pt/dges.asp?code=604&codc=9787,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9787&code=604,,,,,,
8509,Património Cultural e Arqueologia,Licenciatura - 1º ciclo,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,FCHS,5.4.31,https://infocursos.medu.pt/dges.asp?code=201&codc=8509,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8509&code=201,,,,,,
9789,Pilotagem,Licenciatura - 1º ciclo,7105,Escola Superior Náutica Infante D. Henrique,ENIDH,5.4.391,https://infocursos.medu.pt/dges.asp?code=7105&codc=9789,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9789&code=7105,154.2,153,156.8,160.9,125.3,132.3
9790,Pintura,Licenciatura - 1º ciclo,1502,Universidade de Lisboa - Faculdade de Belas-Artes,FBAUL,5.4.108,https://infocursos.medu.pt/dges.asp?code=1502&codc=9790,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9790&code=1502,168,187,160,156.8,158,165.8
8411,Planeamento e Gestão do Território,Licenciatura - 1º ciclo,1514,Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território,IGOT,5.4.128,https://infocursos.medu.pt/dges.asp?code=1514&codc=8411,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8411&code=1514,139,139.5,132.5,136.5,126.5,120.5
L274,"Política, Economia e Sociedade",Licenciatura - 1º ciclo,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),ISCTE,5.4.14,https://infocursos.medu.pt/dges.asp?code=6810&codc=L274,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L274&code=6810,152.4,152.4,147.2,154.4,153,151.5
8393,Português,Licenciatura - 1º ciclo,505,Universidade de Coimbra - Faculdade de Letras,FLUC,5.4.84,https://infocursos.medu.pt/dges.asp?code=505&codc=8393,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8393&code=505,,,,,,
9217,Produção Alimentar em Restauração,Licenciatura - 1º ciclo,7110,Escola Superior de Hotelaria e Turismo do Estoril,ESHTE,5.4.389,https://infocursos.medu.pt/dges.asp?code=7110&codc=9217,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9217&code=7110,129,135.2,127.6,135.2,125.3,
L179,Produção Multimédia em Educação,Licenciatura - 1º ciclo,3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,ESES,5.4.464,https://infocursos.medu.pt/dges.asp?code=3142&codc=L179,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L179&code=3142,118.8,118,119.4,134.2,116.5,119.5
L127,Programação e Produção Cultural,Licenciatura - 1º ciclo,3103,Instituto Politécnico de Leiria - Escola Superior de Artes e Design,ESAD.CR,5.4.361,https://infocursos.medu.pt/dges.asp?code=3103&codc=L127,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L127&code=3103,126.6,132,135.2,146.3,121.8,122.3
8524,Proteção Civil e Gestão de Riscos,Licenciatura - 1º ciclo,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,FCT,5.4.27,https://infocursos.medu.pt/dges.asp?code=160&codc=8524,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8524&code=160,,,,,,
L112,Proteção Civil e Gestão do Território,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,5.4.175,https://infocursos.medu.pt/dges.asp?code=1000&codc=L112,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L112&code=1000,126,124.6,128.2,136.4,127.3,130.5
9791,Prótese Dentária,Licenciatura - 1º ciclo,1508,Universidade de Lisboa - Faculdade de Medicina Dentária,FMDUL,5.4.124,https://infocursos.medu.pt/dges.asp?code=1508&codc=9791,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9791&code=1508,144.8,135.8,143.5,139.3,148.8,155.8
9219,Psicologia,Licenciatura - 1º ciclo,6800,ISCTE - Instituto Universitário de Lisboa,ISCTE,5.4.11,https://infocursos.medu.pt/dges.asp?code=6800&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=6800,175,175,173.5,180.5,166.5,169.8
9219,Psicologia,Licenciatura - 1º ciclo,400,Universidade da Beira Interior,UBI,5.4.65,https://infocursos.medu.pt/dges.asp?code=400&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=400,,,,,,
9219,Psicologia,Licenciatura - 1º ciclo,1306,Universidade da Madeira - Faculdade de Artes e Humanidades,FAH,5.4.149,https://infocursos.medu.pt/dges.asp?code=1306&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=1306,155.9,161.8,155.7,157.8,151,147.5
9219,Psicologia,Licenciatura - 1º ciclo,300,Universidade de Aveiro,UA,5.4.50,https://infocursos.medu.pt/dges.asp?code=300&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=300,,,,,,
9219,Psicologia,Licenciatura - 1º ciclo,507,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,FPCEUC,5.4.86,https://infocursos.medu.pt/dges.asp?code=507&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=507,,,,,,
9219,Psicologia,Licenciatura - 1º ciclo,604,Universidade de Évora - Escola de Ciências Sociais,ECS,5.4.93,https://infocursos.medu.pt/dges.asp?code=604&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=604,,,,,,
9219,Psicologia,Licenciatura - 1º ciclo,1511,Universidade de Lisboa - Faculdade de Psicologia,FPUL,5.4.127,https://infocursos.medu.pt/dges.asp?code=1511&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=1511,165,165,165,169,168,172
9219,Psicologia,Licenciatura - 1º ciclo,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,ECHS,5.4.218,https://infocursos.medu.pt/dges.asp?code=1202&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=1202,166.3,165.4,164.2,171.5,161,163.3
9219,Psicologia,Licenciatura - 1º ciclo,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,FCHS,5.4.31,https://infocursos.medu.pt/dges.asp?code=201&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=201,,,,,,
9219,Psicologia,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,5.4.176,https://infocursos.medu.pt/dges.asp?code=1000&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=1000,171.2,176.8,167,171.8,169.8,174
9219,Psicologia,Licenciatura - 1º ciclo,1109,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,FPCEUP,5.4.211,https://infocursos.medu.pt/dges.asp?code=1109&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=1109,168.8,168.8,169.5,179,174,176.3
9219,Psicologia,Licenciatura - 1º ciclo,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,FCSH,5.4.23,https://infocursos.medu.pt/dges.asp?code=150&codc=9219,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9219&code=150,,,,,,
L399,Psicomotricidade,Licenciatura - 1º ciclo,1204,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,ECVA,5.4.227,https://infocursos.medu.pt/dges.asp?code=1204&codc=L399,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L399&code=1204,,,,,,
9222,Publicidade e Marketing,Licenciatura - 1º ciclo,3113,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social,ESCS,5.4.393,https://infocursos.medu.pt/dges.asp?code=3113&codc=9222,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9222&code=3113,166.5,179.5,163.5,169.5,155,149.3
